"Site_ID","Percent_Bleaching","Temperature_Mean","Turbidity","Cyclone_Frequency","Ecoregion_Name","Distance_to_Shore"
1342,"82.3","299.82","0.0423",51.1,"Bahamas and Florida Keys","601.33"
8843,"82.3","299.79","0.1110",60.12,"Bahamas and Florida Keys","2573.48"
1339,"83.3","299.83","0.0444",54.14,"Bahamas and Florida Keys","213.84"
9180,"83.9","299.87","0.1536",57.93,"Bahamas and Florida Keys","7843.75"
9195,"85.7","299.73","0.1636",58.01,"Bahamas and Florida Keys","3084.52"
9183,"88.2","299.83","0.0845",58.01,"Bahamas and Florida Keys","6808.67"
8499,"88.9","300.11","0.0362",53.57,"Bahamas and Florida Keys","244.22"
9184,"88.9","299.83","0.1491",58.01,"Bahamas and Florida Keys","4028.12"
9196,"88.9","299.83","0.1491",58.01,"Bahamas and Florida Keys","2801.97"
9185,"89","299.68","0.1441",48.9,"Bahamas and Florida Keys","569.36"
9185,"89","299.68","0.1441",48.9,"Bahamas and Florida Keys","569.36"
8829,"92","299.78","0.1836",60.12,"Bahamas and Florida Keys","1490.84"
1323,"92.2","299.83","0.1804",51.1,"Bahamas and Florida Keys","127.06"
8980,"95.8","299.83","0.0502",57.93,"Bahamas and Florida Keys","5990.54"
9128,"100","299.83","0.0547",58.01,"Bahamas and Florida Keys","5743.49"
9130,"100","299.83","0.1491",58.01,"Bahamas and Florida Keys","3236.25"
9184,"100","299.83","0.1491",58.01,"Bahamas and Florida Keys","4028.12"
9193,"100","299.83","0.1110",60.12,"Bahamas and Florida Keys","2157.26"
9194,"100","299.76","0.0818",57.28,"Bahamas and Florida Keys","6749.02"
9195,"100","299.73","0.1636",58.01,"Bahamas and Florida Keys","3084.52"
9196,"100","299.83","0.1491",58.01,"Bahamas and Florida Keys","2801.97"
9331,"100","299.88","0.0745",61.18,"Bahamas and Florida Keys","8816.82"
1286,"75","300.19","0.0256",60.9,"Bahamas and Florida Keys","1050.28"
1287,"75","299.89","0.0254",56.85,"Bahamas and Florida Keys","5920.06"
1288,"75","299.7","0.0385",62.92,"Bahamas and Florida Keys","2563.78"
1289,"75","299.7","0.0385",62.92,"Bahamas and Florida Keys","2523.2"
1290,"75","299.37","0.1689",38.49,"Bahamas and Florida Keys","796.97"
1325,"75","299.37","0.1689",38.49,"Bahamas and Florida Keys","450.45"
1331,"75","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
1331,"75","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
1339,"75","299.83","0.0444",54.14,"Bahamas and Florida Keys","213.84"
1341,"75","299.83","0.0401",51.1,"Bahamas and Florida Keys","373.08"
1343,"75","299.93","0.0359",57.31,"Bahamas and Florida Keys","11122.28"
8737,"75","299.88","0.0889",62.59,"Bahamas and Florida Keys","3341.92"
8742,"75","299.77","0.1629",58.32,"Bahamas and Florida Keys","2841.86"
8810,"75","299.9","0.0577",57.05,"Bahamas and Florida Keys","7362.46"
8849,"75","299.81","0.1066",52.58,"Bahamas and Florida Keys","5590.73"
8880,"75","299.87","0.1387",62.59,"Bahamas and Florida Keys","6164.48"
8949,"75","299.8","0.1262",56.58,"Bahamas and Florida Keys","5046.07"
8950,"75","299.81","0.1066",52.58,"Bahamas and Florida Keys","5518.58"
8951,"75","299.82","0.043",63.75,"Bahamas and Florida Keys","1604.85"
8982,"75","299.83","0.0727",53.15,"Bahamas and Florida Keys","6975.07"
8983,"75","299.83","0.0727",53.15,"Bahamas and Florida Keys","6941.55"
